FID,OBJECTID,HIFLD_FACILITYID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,SECURELVL,CAPACITY,Shape_Leng,SHAPE_Length,SHAPE_Area
522,506,10005259,SHASTA COUNTY JUVENILE HALL,2680 RADIO LANE,REDDING,CA,96001,NOT AVAILABLE,(530) 225-5230,COUNTY,OPEN,35,SHASTA,6089,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.co.shasta.ca.us/html/Grand_Jury/docs/0910_Reports/CriminalGJRpt2009-10.pdf,2/15/16,IMAGERY,2/16/18 0:00,https://www.co.shasta.ca.us/index/probation_index/juvenile_division.aspx,JUVENILE,90,0.007867685,959.6070757,1.46E-06
530,514,10005277,SIERRA COUNTY JAIL,100 COURTHOUSE SQUARE,DOWNIEVILLE,CA,95936,NOT AVAILABLE,(530) 289-3700,COUNTY,OPEN,-999,SIERRA,6091,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.sierracounty.ca.gov/298/Sheriff-Coroner,2/16/18,IMAGERY,2/16/18 0:00,https://www.sierracounty.ca.gov/298/Sheriff-Coroner,NOT AVAILABLE,-999,0.00122496,158.9003299,9.49E-08
533,517,10005246,CHARLIE BYRD YOUTH CORRECTIONS CENTER,269 SHARPS ROAD,YREKA,CA,96097,NOT AVAILABLE,(530) 841-4180,COUNTY,OPEN,20,SISKIYOU,6093,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.co.siskiyou.ca.us/page/probation-department,2/16/18,IMAGERY,2/16/18 0:00,http://www.co.siskiyou.ca.us/page/probation-department,JUVENILE,40,0.003330939,425.8252356,3.56E-07
543,527,10000787,SOLANO COUNTY CLAYBANK DETENTION FACILITY,2500 CLAYBANK ROAD,FAIRFIELD,CA,94533,NOT AVAILABLE,NOT AVAILABLE,COUNTY,OPEN,236,SOLANO,6095,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.bscc.ca.gov/s_fsojailprofilesurvey.php,2/16/18,IMAGERY,2/16/18 0:00,http://www.co.solano.ca.us/depts/sheriff/custody_division/default.asp,NOT AVAILABLE,419,0.004888006,596.4322024,8.50E-07
567,551,10006711,SOLANO COUNTY STANTON CORRECTIONAL FACILITY,2450 CLAYBANK ROAD,FAIRFIELD,CA,94533,NOT AVAILABLE,NOT AVAILABLE,COUNTY,OPEN,272,SOLANO,6095,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.bscc.ca.gov/s_fsojailprofilesurvey.php,2/16/18,IMAGERY/OTHER,2/16/18 0:00,https://www.solanocounty.com/depts/sheriff/custody_division/default.asp,NOT AVAILABLE,-999,0.005583039,680.6967262,1.07E-06
574,558,10005297,SOLANO COUNTY JUVENILE DETENTION FACILITY,740 BECK AVENUE,FAIRFIELD,CA,94533,NOT AVAILABLE,(707) 784-6570,COUNTY,OPEN,80,SOLANO,6095,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.solanocounty.com/depts/probation/default.asp,2/15/16,IMAGERY,2/16/18 0:00,https://www.solanocounty.com/depts/probation/default.asp,JUVENILE,148,0.006363759,800.8068423,1.36E-06
582,566,10002321,SONOMA COUNTY MAIN ADULT DETENTION FACILITY,2777 VENTURA AVENUE,SANTA ROSA,CA,95403,NOT AVAILABLE,(707) 565-1400,COUNTY,OPEN,710,SONOMA,6097,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.bscc.ca.gov/s_fsojailprofilesurvey.php,2/16/18,IMAGERY,2/16/18 0:00,https://www.sonomasheriff.org/,MAXIMUM,790,0.01002331,1254.706079,2.43E-06
599,583,10002320,NORTH COUNTY DETENTION FACILITY,2254 ORDINANCE ROAD,SANTA ROSA,CA,95403,NOT AVAILABLE,(707) 565-1400,COUNTY,OPEN,335,SONOMA,6097,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.bscc.ca.gov/s_fsojailprofilesurvey.php,2/16/18,IMAGERY,2/16/18 0:00,https://www.sonomasheriff.org/,MINIMUM,1200,0.005697727,719.7872065,1.33E-06
601,585,10005294,SONOMA COUNTY PROBATION CAMP,7400 STEVE OLSEN LANE,FORESTVILLE,CA,95436,NOT AVAILABLE,(707) 565-8900,COUNTY,OPEN,-999,SONOMA,6097,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.sonoma-county.org/probation/juvenile_facilities/index.htm,2/16/18,IMAGERY,2/16/18 0:00,http://www.sonoma-county.org/probation/juvenile_facilities/index.htm,JUVENILE,24,0.002288774,284.4128596,2.19E-07
623,607,10005293,SONOMA COUNTY JUVENILE HALL,"7425 RANCHO LOS GUILICOS ROAD, DEPT A",SANTA ROSA,CA,95409,6595,(707) 565-6300,COUNTY,OPEN,-999,SONOMA,6097,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.sonoma-county.org/probation/juvenile_facilities/index.htm,2/16/18,IMAGERY,2/16/18 0:00,http://www.sonoma-county.org/probation/juvenile_facilities/index.htm,JUVENILE,240,0.008211957,1012.91565,3.18E-06
626,610,10002328,STANISLAUS COUNTY PUBLIC SAFETY CENTER,200 E HACKETT RD,MODESTO,CA,95358,NOT AVAILABLE,(209) 525-5630,COUNTY,OPEN,650,STANISLAUS,6099,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.scsdonline.com/ad/detention-facilities.html,2/16/18,IMAGERY,2/16/18 0:00,https://www.scsdonline.com/ad/detention-facilities.html,MAXIMUM,918,0.005893826,753.9370894,1.88E-06
648,632,10006712,STANISLAUS COUNTY PUBLIC SAFETY CENTER UNIT 1 AND UNIT 2,200 EAST HACKETT RD,MODESTO,CA,95358,NOT AVAILABLE,(209) 525-5630,COUNTY,OPEN,335,STANISLAUS,6099,USA,922140,CORRECTIONAL INSTITUTIONS,"http://www.bscc.ca.gov/s_fsojailprofilesurvey.php, https://www.scsdonline.com/ad/detention-facilities.html",2/16/18,UNVERIFIED,2/16/18 0:00,https://www.scsdonline.com/ad/detention-facilities.html,NOT AVAILABLE,392,0.005418145,693.7098378,1.40E-06
655,639,10002329,STANISLAUS COUNTY JUVENILE HALL AND COMMITMENT FACILITY,2215 BLUE GUM AVE,MODESTO,CA,95358,NOT AVAILABLE,(209) 525-5400,COUNTY,OPEN,153,STANISLAUS,6099,USA,922140,CORRECTIONAL INSTITUTIONS,"http://nces.ed.gov/globallocator/sch_info_popup.asp?Type=Public&ID=069104109050, http://webschoolpro.com/CA50105045030069/",2/15/16,IMAGERY,2/16/18 0:00,http://www.stancounty.com/probation/services.shtm,JUVENILE,144,0.009514812,1184.552524,3.21E-06
656,640,10005279,MAXINE SINGER YOUTH GUIDANCE CENTER,1023 14TH ST,MARYSVILLE,CA,95901,NOT AVAILABLE,(530) 741-6371,COUNTY,OPEN,-999,YUBA,6115,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.suttercounty.org/doc/government/depts/jh/jh_home,2/15/16,IMAGERY,2/16/18 0:00,https://www.suttercounty.org/doc/government/depts/jh/jh_home,JUVENILE,60,0.004958223,586.7330278,7.77E-07
659,643,10005247,SISKIYOU COUNTY JAIL,315 SOUTH OREGON STREET,YREKA,CA,96097,NOT AVAILABLE,(530) 842-8157,COUNTY,OPEN,98,SISKIYOU,6093,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.co.siskiyou.ca.us/content/sheriffs-office-custody-division,2/16/18,IMAGERY,2/16/18 0:00,https://www.co.siskiyou.ca.us/content/sheriffs-office-custody-division,NOT AVAILABLE,104,0.002206389,277.3213989,2.54E-07
670,654,10005268,TEHAMA COUNTY JUVENILE DETENTION FACILITY,1790 WALNUT STREET,RED BLUFF,CA,96080,NOT AVAILABLE,(530) 527-5380,COUNTY,OPEN,52,TEHAMA,6103,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.co.tehama.ca.us/depprobation,2/16/18,IMAGERY,2/16/18 0:00,http://www.co.tehama.ca.us/depprobation,JUVENILE,60,0.003605882,450.5824492,6.83E-07
685,669,10006441,CURTIS E WETTER JUVENILE HALL,1740 WALNUT ST,RED BLUFF,CA,96080,NOT AVAILABLE,NOT AVAILABLE,COUNTY,CLOSED,0,TEHAMA,6103,USA,922140,CORRECTIONAL INSTITUTIONS,http://tehamacountyca.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=2971,6/30/09,IMAGERY,2/16/18 0:00,http://www.cde.ca.gov/re/sd/details.asp?cds=52345209006784&Public=Y,JUVENILE,-999,0.002874307,360.553623,3.92E-07
693,677,10005257,TRINITY COUNTY JAIL,101 MEMORIAL DRIVE,WEAVERVILLE,CA,96093,NOT AVAILABLE,(530) 623-2611,COUNTY,OPEN,51,TRINITY,6105,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.bscc.ca.gov/s_fsojailprofilesurvey.php,2/16/18,IMAGERY,2/16/18 0:00,http://www.trinitycounty.org/index.aspx?page=80,NOT AVAILABLE,-999,0.002829876,360.5765677,3.15E-07
713,697,10005255,TRINITY COUNTY JUVENILE HALL,333 TOM BELL ROAD,WEAVERVILLE,CA,96093,NOT AVAILABLE,NOT AVAILABLE,COUNTY,OPEN,-999,TRINITY,6105,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.trinitycounty.org/index.aspx?page=78,2/16/18,IMAGERY,2/16/18 0:00,http://www.trinitycounty.org/index.aspx?page=78,JUVENILE,28,0.002376212,295.2238337,3.15E-07
716,700,10002336,TULARE COUNTY JAIL / SHERIFF,2404 WEST BURREL AVENUE,VISALIA,CA,93291,NOT AVAILABLE,(559) 636-4655,COUNTY,OPEN,269,TULARE,6107,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.bscc.ca.gov/s_fsojailprofilesurvey.php,2/16/18,IMAGERY,2/16/18 0:00,http://tularecounty.ca.gov/sheriff/index.cfm/detentions1/detentions-operations/,NOT AVAILABLE,264,0.002460788,293.6855703,2.38E-07
725,709,10002337,TULARE COUNTY ADULT PRE-TRIAL FACILITY,36650 ROAD 112,VISALIA,CA,93291,NOT AVAILABLE,(559) 735-1750,COUNTY,OPEN,345,TULARE,6107,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.bscc.ca.gov/s_fsojailprofilesurvey.php,2/16/18,IMAGERY,2/16/18 0:00,http://tularecounty.ca.gov/sheriff/index.cfm/detentions1/detentions-operations/,MAXIMUM,230,0.004333633,529.7838721,8.66E-07
737,721,10002338,BOB WILEY DETENTION FACILITY,36712 ROAD 112,VISALIA,CA,93291,NOT AVAILABLE,(559) 735-1700,COUNTY,OPEN,677,TULARE,6107,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.bscc.ca.gov/s_fsojailprofilesurvey.php,2/16/18,IMAGERY,2/16/18 0:00,http://tularecounty.ca.gov/sheriff/index.cfm/detentions1/detentions-operations/,NOT AVAILABLE,690,0.007666451,948.5251351,1.79E-06
739,723,10002335,TULARE COUNTY JUVENILE DETENTION FACILITY,11200 AVENUE 368,VISALIA,CA,93291,NOT AVAILABLE,(559) 735-1600,COUNTY,OPEN,205,TULARE,6107,USA,922140,CORRECTIONAL INSTITUTIONS,http://tularecounty.ca.gov/probation/index.cfm/departments/,2/16/18,IMAGERY,2/16/18 0:00,http://tularecounty.ca.gov/probation/index.cfm/departments/,JUVENILE,210,0.0058354,697.085449,1.67E-06
753,737,10002334,TULARE COUNTY PROBATION YOUTH FACILITY,11150 AVENUE 368,VISALIA,CA,93291,NOT AVAILABLE,(559) 735-1400,COUNTY,OPEN,-999,TULARE,6107,USA,922140,CORRECTIONAL INSTITUTIONS,http://tularecounty.ca.gov/probation/index.cfm/departments/,2/16/18,IMAGERY,2/16/18 0:00,http://tularecounty.ca.gov/probation/index.cfm/departments/,JUVENILE,120,0.003985808,486.5408219,5.84E-07
762,746,10001523,TUOLUMNE COUNTY JAIL,175 YANEY AVENUE,SONORA,CA,95370,NOT AVAILABLE,(888) 243-9939,COUNTY,OPEN,145,TUOLUMNE,6109,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.bscc.ca.gov/s_fsojailprofilesurvey.php,2/16/18,IMAGERY,2/16/18 0:00,https://www.tuolumnecounty.ca.gov/348/Custody-Division,NOT AVAILABLE,140,0.001755858,218.1407179,1.85E-07
775,759,10000882,VENTURA COUNTY TODD ROAD FACILITY,600 SOUTH TODD ROAD,SANTA PAULA,CA,93060,NOT AVAILABLE,NOT AVAILABLE,COUNTY,OPEN,778,VENTURA,6111,USA,922140,CORRECTIONAL INSTITUTIONS,"http://www.bscc.ca.gov/s_fsojailprofilesurvey.php, http://www.vcsd.org/division-detention.php",2/19/18,IMAGERY,2/19/18 0:00,http://www.vcsd.org/division-detention.php,NOT AVAILABLE,796,0.009730011,1183.375194,2.70E-06
776,760,10000886,VENTURA COUNTY PRE-TRIAL DETENTION FACILITY (MAIN JAIL),800 S VICTORIA AVE,VENTURA,CA,93009,NOT AVAILABLE,NOT AVAILABLE,COUNTY,OPEN,785,VENTURA,6111,USA,922140,CORRECTIONAL INSTITUTIONS,"http://www.bscc.ca.gov/s_fsojailprofilesurvey.php, http://www.vcsd.org/division-detention.php",2/19/18,IMAGERY,2/19/18 0:00,http://www.vcsd.org/division-detention.php,MEDIUM,890,0.005560453,663.6036178,8.58E-07
782,766,10002313,YUBA COUNTY JAIL,"215 5TH ST, SUITE #150",MARYSVILLE,CA,95901,NOT AVAILABLE,(530) 749-7740,COUNTY,OPEN,339,YUBA,6115,USA,922140,CORRECTIONAL INSTITUTIONS,"http://www.bscc.ca.gov/s_fsojailprofilesurvey.php, http://sheriff.co.yuba.ca.us/index.aspx",2/19/18,IMAGERY,2/19/18 0:00,http://sheriff.co.yuba.ca.us/index.aspx,NOT AVAILABLE,428,0.004116314,514.3540669,6.56E-07
786,770,10005278,YUBA - SUTTER COUNTY JUVENILE HALL,1023 14TH STREET,MARYSVILLE,CA,95901,NOT AVAILABLE,(530) 741-6371,COUNTY,OPEN,-999,YUBA,6115,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.co.yuba.ca.us/Departments/Probation/default.aspx,2/19/18,IMAGERY,2/19/18 0:00,http://www.co.yuba.ca.us/Departments/Probation/default.aspx,JUVENILE,60,0.00359404,450.3156901,5.74E-07
793,777,10005343,TWIN PINES RANCH,49500 TWIN PINES ROAD,BANNING,CA,92220,NOT AVAILABLE,NOT AVAILABLE,COUNTY,CLOSED,0,RIVERSIDE,6065,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.pe.com/2014/07/14/banning-twin-pines-ranch-closes-after-67-years/,7/14/14,IMAGERY,2/19/18 0:00,NOT AVAILABLE,JUVENILE,70,0.010139671,1278.204555,5.31E-06
796,780,10005327,VICTORVILLE JAIL,14455 CIVIC DRIVE,VICTORVILLE,CA,92392,NOT AVAILABLE,(760) 243-8719,COUNTY,NOT AVAILABLE,-999,SAN BERNARDINO,6071,USA,922140,CORRECTIONAL INSTITUTIONS,NOT AVAILABLE,NOT AVAILABLE,IMAGERY/OTHER,2/19/18 0:00,NOT AVAILABLE,NOT AVAILABLE,-999,0.004593532,568.3894,9.33E-07
2033,2801,10002326,MARTINEZ DETENTION FACILITY,1000 WARD STREET,MARTINEZ,CA,94553,NOT AVAILABLE,(925) 335-4600,COUNTY,OPEN,683,CONTRA COSTA,6013,USA,922140,CORRECTIONAL INSTITUTIONS,"http://www.bscc.ca.gov/s_fsojailprofilesurvey.php, http://www.furtherthework.com/CoCo_Jail_Needs_Assessment.pdf",2/8/18,IMAGERY,2/8/18 0:00,http://www.cocosheriff.org/bureaus/custody_services/default.htm,MAXIMUM,695,0.004748572,582.1399147,8.24E-07
2038,2436,10000845,SHAFTER MODIFIED COMMUNITY CORRECTIONAL FACILITY,1150 EAST ASH AVENUE,SHAFTER,CA,93263,NOT AVAILABLE,(661) 746-8900,LOCAL,OPEN,-999,KERN,6029,USA,922140,CORRECTIONAL INSTITUTIONS,http://shafter.com/27/City-Departments,5/16/18,IMAGERY,5/16/18 0:00,NOT AVAILABLE,NOT AVAILABLE,640,0.005962377,730.2290856,2.06E-06
2039,2437,10006901,HARBOR AREA JAIL,2175 S JOHN S GIBSON BLVD,SAN PEDRO,CA,90731,NOT AVAILABLE,(310) 726-7999,LOCAL,CLOSED,0,LOS ANGELES,6037,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.lapdonline.org/contact_us/content_basic_view/9672#11g,5/16/18,IMAGERY,5/16/18 0:00,NOT AVAILABLE,NOT AVAILABLE,-999,0.003128656,382.530259,3.51E-07
2064,2461,10000846,TAFT MODIFIED COMMUNITY CORRECTIONAL FACILITY,330 COMMERCE WAY,TAFT,CA,93268,NOT AVAILABLE,(661) 765-2840,LOCAL,OPEN,524,KERN,6029,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.cityoftaft.org/pView.aspx?id=5172&catID=562,5/16/18,IMAGERY,5/16/18 0:00,NOT AVAILABLE,NOT AVAILABLE,600,0.005096257,633.5913433,1.17E-06
2082,2479,10000843,DELANO MODIFIED COMMUNITY CORRECTIONAL FACILITY,2727 WEST INDUSTRY ROAD,DELANO,CA,93215,NOT AVAILABLE,(661) 721-3270,LOCAL,OPEN,-999,KERN,6029,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.cityofdelano.org/590/Services,5/16/18,IMAGERY,5/16/18 0:00,NOT AVAILABLE,MEDIUM,578,0.005694446,682.9392237,1.48E-06
2099,2496,10006482,ANAHEIM DETENTION FACILITY,425 S HARBOR BLVD,ANAHEIM,CA,92805,NOT AVAILABLE,(714) 765-1988,LOCAL,OPEN,-999,ORANGE,6059,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.anaheim.net/241/Services,5/16/18,IMAGERY,5/16/18 0:00,https://www.anaheim.net/241/Services,NOT AVAILABLE,120,0.004127447,499.4235449,7.98E-07
2127,2524,10006487,CHULA VISTA JAIL,315 FOURTH AVENUE,CHULA VISTA,CA,91910,NOT AVAILABLE,(619) 691-5220,LOCAL,OPEN,54,SAN DIEGO,6073,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.chulavistaca.gov/departments/police-department,5/16/18,IMAGERY,5/16/18 0:00,NOT AVAILABLE,NOT AVAILABLE,50,0.003304043,396.9831113,6.81E-07
2160,2557,10006902,HUNTINGTON BEACH CITY JAIL,2000 MAIN STREET,HUNTINGTON BEACH,CA,92648,NOT AVAILABLE,(714) 536-5691,LOCAL,OPEN,-999,ORANGE,6059,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.huntingtonbeachca.gov/government/departments/pd/divisions/investigation/investigation.cfm,5/16/18,IMAGERY,5/16/18 0:00,NOT AVAILABLE,NOT AVAILABLE,68,0.003174722,402.4402514,4.36E-07
2203,2600,10006903,ONTARIO CITY JAIL,2500 SOUTH ARCHIBALD AVENUE,ONTARIO,CA,91761,NOT AVAILABLE,(909) 395-2001,LOCAL,OPEN,-999,SAN BERNARDINO,6071,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.geogroup.com/Locations,5/16/18,IMAGERY,5/16/18 0:00,https://www.geogroup.com/Locations,NOT AVAILABLE,40,0.005197155,640.073506,1.63E-06
2247,2644,10006904,HAYWARD DETENTION FACILITY,300 W WINTON AVE,HAYWARD,CA,94544,NOT AVAILABLE,(510) 293-7043,LOCAL,OPEN,-999,ALAMEDA,6001,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.hayward-ca.gov/police-department/public-services,5/16/18,IMAGERY,5/16/18 0:00,NOT AVAILABLE,NOT AVAILABLE,30,0.002323305,285.1169685,3.16E-07
2286,2683,10005302,GLENN E DYER DETENTION FACILITY,550 6TH STREET,OAKLAND,CA,94607,NOT AVAILABLE,(510) 268-7777,COUNTY,OPEN,437,ALAMEDA,6001,USA,922140,CORRECTIONAL INSTITUTIONS,"http://www.bscc.ca.gov/s_fsojailprofilesurvey.php, https://www.alamedacountysheriff.org/jails_info.php",2/8/18,IMAGERY,2/8/18 0:00,https://www.alamedacountysheriff.org/jails_info.php,NOT AVAILABLE,834,0.001818117,228.9060435,1.95E-07
2292,2689,10006905,PASADENA JAIL,207 N GARFIELD AVENUE,PASADENA,CA,91101,NOT AVAILABLE,(626) 744-4616,LOCAL,OPEN,-999,LOS ANGELES,6037,USA,922140,CORRECTIONAL INSTITUTIONS,https://ww5.cityofpasadena.net/police/about/divisions-and-sections/strategic-services/,5/16/18,IMAGERY,5/16/18 0:00,NOT AVAILABLE,NOT AVAILABLE,-999,0.002199062,267.5321142,2.79E-07
2303,2700,10006494,FULLERTON CITY JAIL,237 W COMMONWEALTH,FULLERTON,CA,92832,NOT AVAILABLE,(714) 738-6579,LOCAL,OPEN,-999,ORANGE,6059,USA,922140,CORRECTIONAL INSTITUTIONS,https://fullertonpd.org/howdoi/default.asp,5/16/18,IMAGERY,5/16/18 0:00,https://fullertonpd.org/howdoi/default.asp,NOT AVAILABLE,-999,0.003023068,365.2594558,4.80E-07
2342,2739,10006493,EL MONTE JAIL,11333 VALLEY BOULEVARD,EL MONTE,CA,91731,NOT AVAILABLE,(626) 580-2113,LOCAL,OPEN,-999,LOS ANGELES,6037,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.ci.el-monte.ca.us/211/Administrative-Services,5/16/18,IMAGERY,5/16/18 0:00,NOT AVAILABLE,NOT AVAILABLE,-999,0.00322856,391.6497891,3.79E-07
2385,2782,10005271,BUTTE COUNTY JAIL,5 GILLICK WAY,OROVILLE,CA,95965,NOT AVAILABLE,(530) 538-7471,COUNTY,OPEN,586,BUTTE,6007,USA,922140,CORRECTIONAL INSTITUTIONS,"http://www.bscc.ca.gov/s_fsojailprofilesurvey.php, http://www.buttecounty.net/sheriffcoroner/Home.aspx",2/8/18,IMAGERY,2/8/18 0:00,http://www.buttecounty.net/sheriffcoroner/Home.aspx,NOT AVAILABLE,614,0.005562215,684.9975982,1.10E-06
2389,2786,10005296,AMADOR COUNTY JAIL,700 COURT STREET,JACKSON,CA,95642,NOT AVAILABLE,(209) 223-6522,COUNTY,OPEN,53,AMADOR,6005,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.amadorgov.org/government/sheriff-coroner/corrections-division,2/8/18,IMAGERY,2/8/18 0:00,http://www.amadorgov.org/government/sheriff-coroner/corrections-division,NOT AVAILABLE,76,0.002469116,300.178448,3.61E-07
2390,2787,10005298,CALAVERAS COUNTY JAIL,1045 JEFF TUTTLE DRIVE,SAN ANDREAS,CA,95249,NOT AVAILABLE,(209) 754-6499,COUNTY,OPEN,91,CALAVERAS,6009,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.bscc.ca.gov/s_fsojailprofilesurvey.php,2/8/18,IMAGERY,2/8/18 0:00,https://sheriff.calaverasgov.us/,MAXIMUM,-999,0.004688313,572.143783,9.42E-07
2391,2788,10006698,CAMP WILMONT SWEENEY,2600 FAIRMONT DR,SAN LEANDRO,CA,94578,NOT AVAILABLE,(510) 667-3683,COUNTY,OPEN,-999,ALAMEDA,6001,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.acgov.org/probation/ji.htm,2/8/18,IMAGERY,2/8/18 0:00,http://www.acgov.org/probation/ji.htm,JUVENILE,50,0.005773104,717.5015875,1.36E-06
2392,2789,10005286,COLUSA COUNTY JAIL,929 BRIDGE STREET,COLUSA,CA,95932,NOT AVAILABLE,(530) 458-0205,COUNTY,OPEN,80,COLUSA,6011,USA,922140,CORRECTIONAL INSTITUTIONS,"http://www.bscc.ca.gov/s_fsojailprofilesurvey.php, https://www.countyofcolusa.org/index.aspx?NID=156",2/8/18,IMAGERY,2/8/18 0:00,https://www.countyofcolusa.org/index.aspx?NID=156,NOT AVAILABLE,92,0.002617708,328.8470398,2.67E-07
2401,2798,10006906,BERKELEY JAIL FACILITY,2100 MARTIN LUTHER KING JR WAY,BERKELEY,CA,94704,NOT AVAILABLE,(510) 981-5766,LOCAL,OPEN,-999,ALAMEDA,6001,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.cityofberkeley.info/DepartmentHome.aspx?id=10182,5/16/18,IMAGERY,5/16/18 0:00,NOT AVAILABLE,NOT AVAILABLE,20,0.002161125,272.0954162,2.38E-07
2485,2802,10002325,WEST COUNTY DETENTION FACILITY,5555 GIANT HIGHWAY,RICHMOND,CA,94806,NOT AVAILABLE,(510) 262-4200,COUNTY,OPEN,775,CONTRA COSTA,6013,USA,922140,CORRECTIONAL INSTITUTIONS,"http://www.bscc.ca.gov/s_fsojailprofilesurvey.php, http://www.cocosheriff.org/bureaus/custody_services/default.htm",2/8/18,IMAGERY,2/8/18 0:00,http://www.cocosheriff.org/bureaus/custody_services/default.htm,MEDIUM,1096,0.012283655,1503.779209,9.27E-06
2647,2243,10000899,HAWTHORNE CITY JAIL,12501 S HAWTHORNE BOULEVARD,HAWTHORNE,CA,90250,NOT AVAILABLE,(310) 349-2700,LOCAL,OPEN,-999,LOS ANGELES,6037,USA,922140,CORRECTIONAL INSTITUTIONS,https://hawthornepolice.com/,5/16/18,IMAGERY,5/16/18 0:00,https://hawthornepolice.com/,MINIMUM,-999,0.002150606,265.9127997,2.87E-07
2648,2244,10000896,DOWNEY CITY JAIL,10911 BROOKSHIRE AVE,DOWNEY,CA,90241,NOT AVAILABLE,(562) 904-2371,LOCAL,OPEN,-999,LOS ANGELES,6037,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.geogroup.com/Locations,5/16/18,IMAGERY,5/16/18 0:00,https://www.geogroup.com/Locations,MINIMUM,33,0.003843012,466.8852206,8.33E-07
2657,2253,10000906,MONTEBELLO CITY JAIL,1600 W BEVERLY BLVD,MONTEBELLO,CA,90640,NOT AVAILABLE,(323) 887-1230,LOCAL,OPEN,-999,LOS ANGELES,6037,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.geogroup.com/Locations,5/16/18,IMAGERY,5/16/18 0:00,https://www.geogroup.com/Locations,NOT AVAILABLE,35,0.002371019,286.8571583,2.86E-07
2692,2288,10006313,BALDWIN PARK JAIL,14403 EAST PACIFIC AVENUE,BALDWIN PARK,CA,91706,NOT AVAILABLE,(626) 813-5298,LOCAL,OPEN,-999,LOS ANGELES,6037,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.geogroup.com/Locations,5/16/18,IMAGERY/OTHER,5/16/18 0:00,https://www.geogroup.com/Locations,NOT AVAILABLE,32,0.002363868,295.5515335,2.03E-07
2693,2289,10005304,FREMONT DETENTION FACILITY,1990 STEVENSON BOULEVARD,FREMONT,CA,94538,NOT AVAILABLE,(510) 790-6703,LOCAL,OPEN,-999,ALAMEDA,6001,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.fremontpolice.org/index.aspx?NID=360,5/16/18,IMAGERY,5/16/18 0:00,http://www.fremontpolice.org/index.aspx?NID=360,NOT AVAILABLE,96,0.001745082,214.846973,1.61E-07
2707,2303,10005365,VERNON CITY JAIL (HOLDING FACILITY),4305 SANTA FE AVENUE,VERNON,CA,90058,NOT AVAILABLE,NOT AVAILABLE,LOCAL,OPEN,-999,LOS ANGELES,6037,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.cityofvernon.org/departments/police-department,5/16/18,IMAGERY,5/16/18 0:00,NOT AVAILABLE,NOT AVAILABLE,19,0.00377043,458.7046105,3.26E-07
2716,2312,10005372,LAPD WILSHIRE AREA JAIL,4861 WEST VENICE BOULEVARD,LOS ANGELES,CA,90019,NOT AVAILABLE,(213) 473-0495,LOCAL,CLOSED,0,LOS ANGELES,6037,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.lapdonline.org/contact_us/content_basic_view/9672#11g,2/15/16,IMAGERY,5/16/18 0:00,NOT AVAILABLE,NOT AVAILABLE,-999,0.002958456,351.7151482,4.37E-07
